"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","club","good","fuck","year","player","fan","club","make","footbal","leagu"
"2","esl","delet","it’","citi","uefa","club","money","peopl","game","team"
"3","back","day","shit","arsenal","esl","support","big","thing","watch","super"
"4","join","guy","don’","real","world","owner","make","point","sport","competit"
"5","perez","manag","i’","win","fifa","love","revenu","bad","american","play"
"6","leav","thought","absolut","man","cup","care","pay","understand","match","top"
"7","sign","pretti","give","time","ban","buy","financi","chang","system","champion"
"8","plan","call","hope","chelsea","play","feel","deal","reason","peopl","releg"
"9","decis","yeah","lol","madrid","govern","glazer","spend","fact","european","european"
"10","statement","bit","that’","season","happen","unit","million","wrong","play","domest"
"11","made","wait","gonna","psg","power","back","rich","idea","interest","premier"
"12","involv","speak","yeah","bayern","rule","move","huge","comment","europ","qualifi"
"13","put","true","hate","big","nation","fsg","invest","work","nfl","format"
"14","want","hope","can’","spur","punish","dream","profit","time","live","spot"
"15","left","surpris","happen","barca","stop","billionair","billion","lot","level","group"
"16","vote","talk","cunt","final","countri","stadium","transfer","post","major","place"
"17","announc","sound","they’","liverpool","corrupt","kroenk","term","agre","countri","compet"
"18","part","end","greedi","won","intern","own","problem","person","time","season"
"19","english","thing","lmao","milan","forc","histori","amount","remov","soccer","base"
"20","member","come","you’","unit","law","liverpool","massiv","dont","destroy","europ"
