"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","fan","player","fuck","club","club","leagu","game","manag","play","make"
"2","peopl","good","it’","money","esl","team","season","feel","goal","delet"
"3","footbal","time","shit","year","uefa","super","point","back","back","call"
"4","support","lot","don’","unit","happen","top","play","spur","ball","post"
"5","sport","bad","i’","make","footbal","year","win","hope","score","comment"
"6","watch","great","yeah","owner","make","real","time","man","pass","remov"
"7","american","squad","he’","citi","chang","cup","match","thing","good","wrong"
"8","care","work","lol","buy","thing","competit","final","day","attack","perform"
"9","understand","pretti","that’","arsenal","idea","madrid","chelsea","time","chanc","give"
"10","thing","level","absolut","big","perez","win","watch","mourinho","defend","coy"
"11","love","long","guy","sell","owner","champion","end","leav","midfield","question"
"12","world","agre","man","pay","work","won","lose","job","half","decis"
"13","live","arteta","can’","spend","part","european","start","put","messi","lol"
"14","countri","posit","gonna","sign","fifa","big","week","bad","kane","read"
"15","hate","world","mate","transfer","stop","bayern","citi","happi","great","talk"
"16","lot","wors","love","contract","power","barca","liverpool","expect","minut","thought"
"17","person","qualiti","doesn’","million","plan","releg","arsenal","coach","today","red"
"18","histori","class","you’","deal","ban","europ","lost","sack","defens","break"
"19","life","poor","lmao","revenu","agre","premier","finish","turn","left","clear"
"20","protest","replac","didn’","glazer","problem","psg","day","honest","run","ref"
